no,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Average,status
624,female,group B,high school,standard,none,married,sometimes,yes,2,school_bus,,52,68,65,61.66666667,Average
625,female,group E,high school,standard,completed,married,never,yes,0,school_bus,< 5,68,80,82,76.66666667,Good
626,male,group C,bachelor's degree,free/reduced,none,married,sometimes,no,1,,10-May,82,78,84,81.33333333,Good
627,female,group B,associate's degree,free/reduced,completed,single,regularly,yes,,private,10-May,48,64,61,57.66666667,Average
628,male,group D,some college,free/reduced,completed,single,regularly,yes,4,school_bus,10-May,78,79,88,81.66666667,Good
629,male,group D,some high school,standard,none,married,sometimes,yes,2,private,< 5,75,79,77,77,Good
630,female,group C,some high school,standard,none,married,sometimes,no,,school_bus,< 5,52,61,58,57,Average
631,male,group E,high school,standard,none,widowed,regularly,yes,5,private,< 5,82,77,70,76.33333333,Good
632,male,group E,some college,standard,none,married,sometimes,yes,1,,10-May,100,88,90,92.66666667,Good
634,male,group B,high school,standard,none,single,sometimes,yes,3,school_bus,10-May,83,80,78,80.33333333,Good
636,male,group C,bachelor's degree,standard,,married,regularly,,4,school_bus,> 10,64,61,59,61.33333333,Average
637,male,group A,some high school,standard,none,single,sometimes,yes,0,private,< 5,40,31,27,32.66666667,Poor
638,male,,bachelor's degree,standard,none,married,regularly,yes,0,school_bus,> 10,70,70,76,72,Average
639,female,group A,,standard,none,,never,,4,school_bus,10-May,64,75,78,72.33333333,Average
641,male,group B,some high school,standard,none,married,sometimes,yes,2,private,< 5,77,80,73,76.66666667,Good
642,male,group B,some college,standard,completed,married,regularly,yes,3,school_bus,10-May,90,88,91,89.66666667,Good
643,male,group C,bachelor's degree,standard,completed,divorced,regularly,yes,1,private,10-May,73,54,63,63.33333333,Average
644,male,group B,associate's degree,standard,none,married,regularly,yes,1,private,10-May,52,44,42,46,Poor
645,male,group E,some college,standard,none,married,regularly,yes,1,school_bus,10-May,77,66,64,69,Average
646,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,2,private,10-May,51,57,60,56,Average
647,male,group D,some college,standard,completed,divorced,regularly,yes,2,school_bus,10-May,78,71,74,74.33333333,Average
648,female,group E,some high school,free/reduced,completed,single,regularly,yes,6,private,< 5,67,88,80,78.33333333,Good
649,male,group B,associate's degree,standard,none,single,sometimes,no,5,school_bus,> 10,77,76,73,75.33333333,Good
650,female,group C,some college,standard,none,married,regularly,yes,4,school_bus,10-May,81,87,87,85,Good
651,male,group C,associate's degree,standard,completed,single,never,yes,0,school_bus,< 5,77,77,74,76,Good
652,male,group D,some high school,standard,none,married,regularly,,0,school_bus,10-May,60,58,55,57.66666667,Average
653,female,group A,some college,free/reduced,none,single,sometimes,yes,2,school_bus,< 5,56,68,60,61.33333333,Average
654,female,group A,some high school,free/reduced,none,divorced,regularly,no,,school_bus,> 10,38,62,57,52.33333333,Average
655,female,group B,high school,free/reduced,none,,sometimes,,1,school_bus,< 5,65,77,80,74,Average
656,female,group C,high school,standard,completed,,sometimes,yes,2,school_bus,10-May,82,87,89,86,Good
657,male,group C,some college,standard,none,divorced,never,yes,1,private,> 10,86,86,76,82.66666667,Good
658,female,group B,some high school,free/reduced,completed,married,sometimes,yes,1,school_bus,10-May,69,84,87,80,Good
659,male,group C,some high school,free/reduced,completed,married,sometimes,yes,2,school_bus,10-May,50,52,49,50.33333333,Average
660,female,group D,associate's degree,standard,completed,married,regularly,yes,1,private,< 5,49,71,73,64.33333333,Average
661,male,group D,high school,standard,none,married,regularly,no,4,,10-May,67,56,54,59,Average
662,female,group C,high school,free/reduced,none,married,regularly,no,2,school_bus,> 10,33,53,48,44.66666667,Poor
663,female,group B,associate's degree,standard,none,single,sometimes,no,1,school_bus,10-May,64,72,73,69.66666667,Average
664,female,group B,master's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,89,87,92,89.33333333,Good
665,male,,some high school,free/reduced,none,divorced,regularly,no,1,,> 10,81,74,67,74,Average
666,male,group A,some college,standard,none,married,regularly,no,3,school_bus,10-May,76,77,72,75,Good
667,male,group E,some college,free/reduced,none,divorced,sometimes,yes,1,private,10-May,76,65,61,67.33333333,Average
668,female,group B,associate's degree,standard,completed,divorced,never,yes,,private,< 5,60,81,82,74.33333333,Average
669,female,group D,some college,free/reduced,none,single,sometimes,yes,5,school_bus,< 5,47,52,54,51,Average
670,female,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,1,private,> 10,49,59,70,59.33333333,Average
671,male,group C,some college,free/reduced,none,widowed,regularly,yes,1,private,,46,50,42,46,Poor
672,male,,some college,standard,,single,sometimes,no,1,school_bus,10-May,58,48,45,50.33333333,Average
673,male,group B,associate's degree,standard,none,married,sometimes,yes,1,school_bus,10-May,51,48,42,47,Poor
674,female,group D,some high school,standard,none,single,sometimes,yes,2,private,> 10,87,92,90,89.66666667,Good
675,female,group B,some college,standard,completed,married,sometimes,yes,3,private,< 5,69,79,81,76.33333333,Good
676,male,group D,,standard,none,married,regularly,no,4,school_bus,< 5,38,41,35,38,Poor
677,male,group B,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,10-May,55,52,53,53.33333333,Average
678,male,,some college,standard,none,single,sometimes,no,2,school_bus,10-May,60,61,50,57,Average
679,male,group E,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,10-May,88,79,82,83,Good
680,male,group C,master's degree,standard,none,single,regularly,yes,2,school_bus,< 5,88,87,80,85,Good
681,female,group C,some college,free/reduced,,married,sometimes,yes,0,school_bus,10-May,71,76,76,74.33333333,Average
682,male,group D,bachelor's degree,standard,none,single,regularly,no,1,school_bus,< 5,57,41,43,47,Poor
684,male,group C,some college,standard,none,single,never,yes,0,school_bus,< 5,73,66,55,64.66666667,Average
685,male,group D,,standard,none,married,sometimes,yes,2,private,> 10,94,90,86,90,Good
687,male,group D,associate's degree,standard,completed,married,regularly,yes,2,private,,100,96,100,98.66666667,Good
688,female,group A,high school,standard,completed,divorced,regularly,no,4,private,10-May,58,68,69,65,Average
689,female,group C,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,74,87,77,79.33333333,Good
690,male,group B,some high school,free/reduced,none,divorced,sometimes,no,7,private,,48,40,37,41.66666667,Poor
691,male,group D,master's degree,free/reduced,none,single,sometimes,yes,0,school_bus,< 5,61,64,57,60.66666667,Average
692,male,group E,associate's degree,free/reduced,none,married,regularly,yes,2,school_bus,10-May,64,69,65,66,Average
693,male,group B,some high school,standard,none,married,sometimes,no,3,school_bus,10-May,45,37,35,39,Poor
694,female,group A,some high school,free/reduced,none,single,regularly,yes,0,school_bus,< 5,36,47,52,45,Poor
695,female,group E,high school,standard,completed,divorced,regularly,yes,1,private,10-May,91,93,99,94.33333333,Good
696,female,group C,associate's degree,free/reduced,completed,married,never,yes,0,school_bus,< 5,57,73,79,69.66666667,Average
697,male,group C,high school,standard,,divorced,sometimes,yes,0,school_bus,10-May,61,57,55,57.66666667,Average
698,male,group C,high school,free/reduced,completed,married,regularly,yes,1,,,71,70,71,70.66666667,Average
699,male,group E,high school,standard,none,married,regularly,no,3,school_bus,> 10,84,83,82,83,Good
700,female,,some college,standard,none,married,regularly,yes,3,private,10-May,77,77,87,80.33333333,Good
701,male,group D,high school,free/reduced,completed,single,never,yes,4,school_bus,> 10,78,86,88,84,Good
702,female,group E,high school,free/reduced,completed,divorced,sometimes,yes,1,private,< 5,64,75,74,71,Average
703,female,group C,some college,standard,completed,divorced,sometimes,yes,1,school_bus,> 10,70,80,81,77,Good
704,male,group C,high school,free/reduced,none,married,regularly,yes,,school_bus,< 5,28,36,32,32,Poor
705,female,group E,some college,standard,none,single,regularly,yes,1,private,< 5,65,69,70,68,Average
706,male,group C,high school,standard,none,,regularly,yes,2,private,10-May,51,46,44,47,Poor
707,female,group B,associate's degree,free/reduced,none,single,regularly,yes,0,school_bus,> 10,64,79,76,73,Average
708,female,group C,some high school,free/reduced,none,married,sometimes,yes,1,private,< 5,49,64,58,57,Average
709,female,group E,some high school,standard,completed,married,never,yes,0,school_bus,< 5,76,78,77,77,Good
710,male,group D,some college,free/reduced,completed,divorced,never,no,5,school_bus,> 10,67,57,62,62,Average
711,female,group D,bachelor's degree,standard,completed,married,never,yes,7,private,10-May,81,88,90,86.33333333,Good
712,female,group A,bachelor's degree,free/reduced,,married,sometimes,no,1,private,10-May,42,59,52,51,Average
713,male,group B,high school,standard,,married,sometimes,no,1,school_bus,10-May,70,67,59,65.33333333,Average
714,female,group D,master's degree,standard,none,single,never,yes,6,school_bus,< 5,79,89,89,85.66666667,Good
715,male,group B,,standard,none,married,never,yes,4,private,10-May,52,48,48,49.33333333,Poor
716,female,group B,high school,free/reduced,none,married,regularly,yes,2,school_bus,10-May,59,75,67,67,Average
717,male,group C,associate's degree,standard,completed,married,never,no,4,private,> 10,73,71,70,71.33333333,Average
718,female,group D,some college,free/reduced,,married,sometimes,yes,4,private,< 5,31,48,52,43.66666667,Poor
719,female,group A,associate's degree,standard,completed,married,sometimes,no,2,school_bus,10-May,72,71,79,74,Average
720,male,group D,some college,free/reduced,completed,married,sometimes,yes,4,private,10-May,65,66,65,65.33333333,Average
721,male,group C,high school,standard,none,married,regularly,yes,1,private,> 10,79,75,79,77.66666667,Good
722,female,group D,some college,standard,completed,single,sometimes,no,2,school_bus,> 10,85,97,100,94,Good
723,female,group E,some college,free/reduced,none,divorced,sometimes,yes,0,private,> 10,73,75,69,72.33333333,Average
724,female,group C,bachelor's degree,standard,completed,married,never,yes,2,private,> 10,64,79,85,76,Good
725,female,group B,some college,standard,none,married,regularly,yes,2,school_bus,< 5,62,75,72,69.66666667,Average
726,male,group D,high school,standard,none,single,regularly,no,5,private,< 5,67,53,53,57.66666667,Average
727,female,group A,some college,standard,completed,married,sometimes,yes,0,school_bus,10-May,45,51,61,52.33333333,Average
728,female,group D,associate's degree,standard,completed,single,regularly,yes,2,school_bus,10-May,79,90,93,87.33333333,Good
729,female,group C,master's degree,standard,none,married,sometimes,yes,1,private,> 10,68,76,79,74.33333333,Average
730,female,group D,high school,free/reduced,none,,sometimes,yes,1,,10-May,46,67,59,57.33333333,Average
731,male,group A,master's degree,standard,,married,sometimes,yes,2,private,10-May,88,80,79,82.33333333,Good
732,female,group C,,standard,none,divorced,sometimes,no,2,school_bus,< 5,74,77,82,77.66666667,Good
733,female,group D,master's degree,standard,completed,single,regularly,yes,1,private,10-May,81,84,100,88.33333333,Good
734,female,group E,,standard,completed,married,regularly,no,1,,10-May,86,92,88,88.66666667,Good
735,female,group C,associate's degree,standard,none,married,regularly,yes,1,school_bus,10-May,51,56,56,54.33333333,Average
736,female,group E,some college,standard,none,married,regularly,yes,2,private,10-May,75,77,73,75,Good
737,male,group D,associate's degree,standard,none,divorced,sometimes,no,1,private,10-May,97,85,86,89.33333333,Good
738,male,group C,some high school,standard,none,married,regularly,yes,2,private,10-May,45,44,43,44,Poor
739,male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,63,61,60,61.33333333,Average
740,male,,some college,standard,none,,regularly,no,,private,10-May,92,83,79,84.66666667,Good
741,female,group D,master's degree,standard,none,married,regularly,yes,2,school_bus,> 10,62,68,72,67.33333333,Average
742,male,group C,,free/reduced,none,single,sometimes,no,,school_bus,> 10,69,80,74,74.33333333,Average
744,female,group C,associate's degree,standard,none,widowed,never,no,1,private,< 5,76,77,79,77.33333333,Good
745,male,group A,bachelor's degree,free/reduced,none,married,never,no,3,private,10-May,72,81,79,77.33333333,Good
746,male,group C,some college,free/reduced,completed,married,regularly,no,,school_bus,10-May,80,81,83,81.33333333,Good
747,female,group E,some college,free/reduced,none,married,sometimes,yes,2,private,> 10,66,71,70,69,Average
748,male,group B,some high school,standard,completed,single,regularly,no,2,private,< 5,63,63,62,62.66666667,Average
749,male,group C,some college,free/reduced,none,married,regularly,yes,2,school_bus,10-May,61,56,51,56,Average
750,female,group B,some college,free/reduced,none,married,sometimes,yes,4,school_bus,10-May,66,78,74,72.66666667,Average
751,female,group C,bachelor's degree,standard,completed,married,regularly,yes,0,private,> 10,84,93,97,91.33333333,Good
752,female,group B,high school,standard,none,single,,yes,3,school_bus,> 10,44,49,44,45.66666667,Poor
753,female,group A,some college,standard,none,married,never,yes,2,,10-May,62,71,69,67.33333333,Average
754,female,,some college,standard,completed,single,regularly,yes,5,private,10-May,91,100,100,97,Good
755,female,group C,some high school,free/reduced,none,divorced,regularly,no,2,school_bus,10-May,56,76,66,66,Average
756,male,group A,,standard,completed,married,never,yes,0,school_bus,> 10,66,62,57,61.66666667,Average
757,female,group B,some high school,standard,none,single,sometimes,no,3,private,10-May,50,54,47,50.33333333,Average
758,male,group B,high school,standard,none,married,sometimes,yes,6,private,< 5,78,72,67,72.33333333,Average
759,female,group C,master's degree,standard,completed,married,never,yes,5,school_bus,< 5,77,85,95,85.66666667,Good
760,female,group B,some college,free/reduced,completed,single,sometimes,yes,2,,10-May,52,59,62,57.66666667,Average
761,female,group D,associate's degree,standard,none,single,never,yes,0,school_bus,< 5,75,77,83,78.33333333,Good
762,male,group E,high school,standard,completed,married,never,no,1,school_bus,10-May,88,77,75,80,Good
763,male,group C,master's degree,free/reduced,completed,married,sometimes,yes,2,private,10-May,44,53,54,50.33333333,Average
764,female,group C,high school,free/reduced,completed,married,sometimes,yes,1,school_bus,< 5,76,78,85,79.66666667,Good
765,female,group C,some high school,standard,completed,married,regularly,yes,1,school_bus,10-May,30,45,42,39,Poor
766,female,group B,some college,free/reduced,completed,married,never,yes,2,private,,43,65,62,56.66666667,Average
767,male,group C,high school,free/reduced,none,married,regularly,yes,2,school_bus,10-May,45,36,28,36.33333333,Poor
768,female,group C,,standard,none,married,sometimes,yes,2,school_bus,< 5,71,90,87,82.66666667,Good
769,female,group C,some college,standard,none,married,sometimes,no,3,school_bus,10-May,60,67,66,64.33333333,Average
770,female,group E,high school,free/reduced,none,single,regularly,yes,1,private,< 5,61,63,66,63.33333333,Average
771,female,group B,bachelor's degree,standard,completed,,regularly,yes,4,private,> 10,57,67,74,66,Average
772,female,group C,some high school,standard,,married,sometimes,no,3,school_bus,10-May,59,61,57,59,Average
773,male,group B,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,> 10,62,47,48,52.33333333,Average
774,male,group C,associate's degree,standard,none,divorced,regularly,no,4,,10-May,75,69,64,69.33333333,Average
775,male,group B,some college,free/reduced,none,married,sometimes,no,,school_bus,10-May,64,68,62,64.66666667,Average
777,female,group B,master's degree,free/reduced,completed,divorced,sometimes,yes,4,,> 10,81,90,86,85.66666667,Good
778,female,group D,some high school,standard,none,divorced,sometimes,yes,2,school_bus,10-May,39,44,47,43.33333333,Poor
779,female,group E,associate's degree,standard,none,single,sometimes,yes,1,private,10-May,78,86,87,83.66666667,Good
780,male,group E,associate's degree,free/reduced,completed,divorced,sometimes,yes,4,school_bus,> 10,54,49,54,52.33333333,Average
781,male,group D,some college,free/reduced,none,married,sometimes,yes,,school_bus,< 5,26,40,31,32.33333333,Poor
782,male,group B,master's degree,standard,completed,married,sometimes,yes,4,,< 5,91,91,90,90.66666667,Good
783,female,group B,some college,standard,none,married,sometimes,yes,1,private,> 10,47,56,59,54,Average
784,female,group D,high school,free/reduced,completed,single,never,yes,1,school_bus,10-May,54,63,69,62,Average
785,male,group E,associate's degree,free/reduced,none,single,sometimes,no,1,school_bus,10-May,82,74,69,75,Good
786,male,group E,high school,standard,none,single,sometimes,yes,3,,< 5,85,74,72,77,Good
787,female,group E,some high school,free/reduced,completed,married,sometimes,yes,0,school_bus,10-May,62,75,70,69,Average
788,female,group A,some high school,free/reduced,none,,regularly,,1,private,> 10,42,53,48,47.66666667,Poor
789,male,,high school,standard,none,single,regularly,,2,school_bus,< 5,79,82,76,79,Good
790,male,group C,some college,standard,none,married,regularly,yes,3,,10-May,82,79,74,78.33333333,Good
791,female,group D,some college,free/reduced,none,divorced,sometimes,yes,0,private,< 5,49,66,62,59,Average
792,male,group C,some high school,standard,completed,single,regularly,yes,1,school_bus,> 10,94,94,93,93.66666667,Good
793,male,group A,associate's degree,standard,completed,married,sometimes,no,3,school_bus,< 5,62,64,62,62.66666667,Average
794,male,group B,some high school,standard,none,single,regularly,yes,,school_bus,10-May,57,52,45,51.33333333,Average
795,female,group C,high school,standard,completed,married,sometimes,yes,2,school_bus,10-May,72,81,78,77,Good
796,male,group D,associate's degree,standard,completed,married,sometimes,yes,2,school_bus,< 5,64,70,66,66.66666667,Average
797,female,group B,high school,standard,none,divorced,regularly,yes,4,,10-May,47,60,55,54,Average
798,male,group B,bachelor's degree,free/reduced,none,single,regularly,yes,3,school_bus,10-May,49,47,56,50.66666667,Average
799,female,,some college,free/reduced,none,single,regularly,no,2,private,10-May,52,70,67,63,Average
800,male,group E,some college,standard,none,single,regularly,no,2,school_bus,< 5,78,66,69,71,Average
801,male,group C,some high school,standard,none,married,never,yes,,school_bus,10-May,54,49,47,50,Poor
803,female,group C,bachelor's degree,standard,,married,regularly,yes,2,school_bus,10-May,72,71,71,71.33333333,Average
804,male,group B,bachelor's degree,standard,completed,married,sometimes,yes,2,private,< 5,88,85,86,86.33333333,Good
805,male,group A,bachelor's degree,standard,none,single,never,no,1,private,> 10,60,65,61,62,Average
806,female,group C,some college,standard,none,married,sometimes,no,3,school_bus,< 5,52,55,57,54.66666667,Average
807,male,,some high school,free/reduced,completed,single,sometimes,no,,,,73,70,63,68.66666667,Average
808,female,,some high school,free/reduced,none,single,regularly,yes,1,private,10-May,33,32,34,33,Poor
809,female,group D,,standard,,married,never,yes,1,private,< 5,54,53,55,54,Average
810,male,group D,some high school,standard,none,married,regularly,yes,3,school_bus,10-May,90,90,87,89,Good
811,male,group E,associate's degree,free/reduced,none,divorced,sometimes,yes,3,private,> 10,32,35,30,32.33333333,Poor
813,male,group B,associate's degree,standard,none,divorced,sometimes,yes,3,school_bus,10-May,66,68,68,67.33333333,Average
814,male,group B,high school,standard,completed,married,sometimes,no,2,private,10-May,65,68,67,66.66666667,Average
815,female,group B,high school,free/reduced,none,married,regularly,no,2,school_bus,< 5,61,64,72,65.66666667,Average
816,female,group E,some high school,free/reduced,completed,married,sometimes,yes,3,private,< 5,63,70,77,70,Average
817,female,group B,some high school,standard,,single,never,yes,2,school_bus,< 5,53,74,73,66.66666667,Average
818,female,group B,some college,free/reduced,none,single,regularly,yes,5,private,10-May,46,53,53,50.66666667,Average
819,male,group C,bachelor's degree,free/reduced,none,married,regularly,yes,1,,10-May,49,46,48,47.66666667,Poor
820,male,group E,some high school,free/reduced,none,married,sometimes,yes,1,private,< 5,60,49,45,51.33333333,Average
821,male,group C,some college,standard,completed,single,sometimes,yes,,school_bus,< 5,61,46,50,52.33333333,Average
822,female,group B,associate's degree,standard,completed,married,regularly,no,2,school_bus,10-May,51,58,60,56.33333333,Average
823,male,group D,associate's degree,standard,none,single,never,yes,0,school_bus,< 5,47,51,50,49.33333333,Poor
824,male,group D,bachelor's degree,standard,none,single,sometimes,yes,0,,10-May,88,71,76,78.33333333,Good
825,female,group A,associate's degree,standard,completed,single,never,no,3,private,< 5,65,76,74,71.66666667,Average
827,male,group C,bachelor's degree,standard,completed,divorced,sometimes,yes,1,private,< 5,78,70,74,74,Average
829,male,group C,associate's degree,free/reduced,none,married,regularly,yes,2,private,< 5,60,60,61,60.33333333,Average
830,male,group C,master's degree,standard,none,married,regularly,no,1,,< 5,76,78,68,74,Average
831,male,,some high school,standard,completed,married,regularly,yes,,school_bus,< 5,84,85,79,82.66666667,Good
832,male,group D,some high school,standard,none,married,regularly,no,1,private,10-May,65,64,63,64,Average
833,male,group C,bachelor's degree,standard,none,married,sometimes,yes,3,school_bus,< 5,87,74,76,79,Good
834,female,group D,associate's degree,standard,none,married,sometimes,yes,3,school_bus,> 10,88,93,92,91,Good
835,female,group D,some college,free/reduced,completed,married,sometimes,yes,0,school_bus,10-May,66,71,77,71.33333333,Average
836,male,group D,bachelor's degree,free/reduced,none,married,sometimes,no,3,school_bus,< 5,70,65,66,67,Average
837,male,group B,master's degree,standard,,divorced,regularly,,1,,< 5,68,73,71,70.66666667,Average
838,female,group B,some high school,standard,completed,married,sometimes,yes,1,private,10-May,33,44,46,41,Poor
839,female,group C,high school,standard,completed,single,never,yes,,private,10-May,46,65,59,56.66666667,Average
840,male,group E,high school,free/reduced,completed,single,never,yes,1,,10-May,90,81,82,84.33333333,Good
841,female,group D,some college,standard,none,married,sometimes,yes,,,10-May,65,64,69,66,Average
842,female,group A,bachelor's degree,standard,none,single,regularly,yes,1,private,< 5,66,68,78,70.66666667,Average
843,male,group E,some high school,standard,completed,single,regularly,yes,3,school_bus,< 5,56,45,47,49.33333333,Poor
844,female,group A,some college,free/reduced,none,divorced,never,no,1,private,< 5,29,46,42,39,Poor
845,female,group D,some college,free/reduced,none,married,never,yes,1,,< 5,59,67,65,63.66666667,Average
846,female,,some college,free/reduced,none,divorced,sometimes,yes,2,private,< 5,51,61,54,55.33333333,Average
847,male,,some high school,standard,none,married,regularly,yes,0,private,> 10,73,55,60,62.66666667,Average
848,female,group D,some college,standard,completed,married,regularly,yes,1,private,< 5,93,99,100,97.33333333,Good
849,male,group D,some college,free/reduced,none,divorced,regularly,yes,2,,10-May,66,57,57,60,Average
850,female,group C,some college,free/reduced,none,divorced,regularly,no,3,school_bus,< 5,70,82,83,78.33333333,Good
851,female,group D,some college,standard,none,single,regularly,yes,1,school_bus,< 5,72,80,82,78,Good
852,male,group B,some college,free/reduced,,single,regularly,yes,4,private,10-May,53,54,56,54.33333333,Average
853,male,group B,master's degree,standard,none,married,sometimes,no,1,school_bus,10-May,78,80,70,76,Good
854,female,group C,some high school,standard,none,married,,yes,,private,10-May,54,69,65,62.66666667,Average
855,male,group A,some high school,standard,none,married,regularly,yes,1,school_bus,10-May,63,59,47,56.33333333,Average
856,male,group B,some college,standard,none,divorced,sometimes,no,3,,10-May,79,83,75,79,Good
857,male,,high school,free/reduced,none,divorced,sometimes,no,2,school_bus,10-May,57,50,49,52,Average
858,female,group C,,standard,,married,sometimes,no,4,school_bus,< 5,65,68,72,68.33333333,Average
859,male,group C,some high school,standard,none,widowed,regularly,yes,2,school_bus,10-May,78,81,75,78,Good
860,female,group B,some high school,free/reduced,,married,regularly,no,1,school_bus,10-May,51,52,51,51.33333333,Average
861,female,group B,associate's degree,standard,none,single,sometimes,yes,1,private,< 5,87,86,89,87.33333333,Good
862,female,group E,some college,free/reduced,completed,single,sometimes,no,1,private,10-May,53,61,62,58.66666667,Average
863,male,group B,some high school,standard,completed,single,sometimes,yes,3,school_bus,< 5,61,55,61,59,Average
864,male,group C,master's degree,standard,none,married,never,yes,3,school_bus,10-May,87,82,78,82.33333333,Good
865,male,group D,high school,standard,none,,regularly,yes,2,private,10-May,98,92,91,93.66666667,Good
866,female,group C,high school,free/reduced,none,married,sometimes,yes,2,school_bus,10-May,53,67,68,62.66666667,Average
867,male,group C,some college,standard,none,married,regularly,yes,2,school_bus,< 5,66,64,53,61,Average
868,male,group E,some college,standard,none,divorced,never,yes,0,private,> 10,69,64,55,62.66666667,Average
869,male,,some college,free/reduced,completed,married,never,no,1,school_bus,10-May,78,77,74,76.33333333,Good
870,male,group C,some college,standard,none,divorced,never,yes,3,private,> 10,56,55,50,53.66666667,Average
871,female,group C,some college,standard,completed,married,regularly,yes,0,private,10-May,100,98,100,99.33333333,Good
873,female,group C,high school,standard,none,married,regularly,yes,4,school_bus,10-May,73,74,69,72,Average
874,male,group C,some high school,standard,completed,married,regularly,no,2,school_bus,> 10,84,82,80,82,Good
875,male,group E,some college,free/reduced,none,married,sometimes,yes,1,school_bus,,48,52,48,49.33333333,Poor
876,male,group E,associate's degree,standard,none,married,regularly,yes,3,private,> 10,77,61,57,65,Average
877,male,,some high school,standard,,married,sometimes,yes,0,school_bus,10-May,56,47,40,47.66666667,Poor
878,female,group E,,standard,,divorced,sometimes,,1,school_bus,10-May,66,66,60,64,Average
879,female,,some college,free/reduced,completed,single,sometimes,yes,4,school_bus,10-May,46,68,67,60.33333333,Average
880,female,,high school,free/reduced,none,divorced,sometimes,yes,,school_bus,< 5,36,57,52,48.33333333,Poor
881,male,group B,some high school,standard,none,married,sometimes,no,2,school_bus,< 5,75,63,58,65.33333333,Average
882,male,group E,high school,standard,completed,married,regularly,no,2,,10-May,96,87,86,89.66666667,Good
883,female,group C,some college,free/reduced,none,,sometimes,yes,0,private,> 10,35,49,46,43.33333333,Poor
884,female,group D,associate's degree,standard,none,single,sometimes,yes,2,,10-May,62,75,74,70.33333333,Average
886,male,group C,associate's degree,free/reduced,none,single,regularly,yes,2,private,10-May,45,47,44,45.33333333,Poor
887,female,group D,some college,free/reduced,none,single,regularly,yes,1,school_bus,< 5,61,73,75,69.66666667,Average
888,male,group C,high school,standard,none,married,regularly,yes,1,school_bus,10-May,82,72,77,77,Good
889,female,group D,master's degree,standard,completed,married,sometimes,no,4,private,10-May,87,100,100,95.66666667,Good
890,male,group B,some high school,standard,none,divorced,sometimes,,3,private,> 10,64,55,61,60,Average
891,female,group D,high school,free/reduced,none,divorced,regularly,yes,0,private,< 5,43,48,49,46.66666667,Poor
892,female,group D,master's degree,standard,none,divorced,sometimes,yes,2,private,10-May,88,97,100,95,Good
893,female,group C,some high school,standard,none,married,regularly,no,3,school_bus,< 5,49,56,52,52.33333333,Average
894,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,3,school_bus,10-May,67,78,84,76.33333333,Good
896,female,group C,high school,standard,none,divorced,regularly,yes,3,school_bus,10-May,61,73,69,67.66666667,Average
897,male,group D,high school,standard,completed,single,sometimes,yes,2,school_bus,10-May,66,64,68,66,Average
898,female,,some college,free/reduced,none,,regularly,yes,1,,10-May,53,55,55,54.33333333,Average
899,male,,high school,standard,none,single,sometimes,,2,,10-May,71,65,61,65.66666667,Average
900,male,group C,some high school,standard,none,married,regularly,yes,2,private,10-May,88,88,79,85,Good
901,female,group D,associate's degree,free/reduced,none,single,sometimes,yes,4,private,10-May,29,42,40,37,Poor
902,female,group D,some high school,standard,none,married,regularly,yes,2,private,10-May,77,80,75,77.33333333,Good
903,female,group B,bachelor's degree,free/reduced,none,divorced,regularly,yes,0,private,10-May,55,76,67,66,Average
904,female,group D,associate's degree,standard,none,divorced,sometimes,yes,3,private,10-May,78,80,77,78.33333333,Good
905,male,group B,some high school,standard,completed,married,sometimes,yes,5,,< 5,55,59,53,55.66666667,Average
906,male,group C,some college,standard,completed,,regularly,yes,2,,10-May,53,57,58,56,Average
907,male,group E,,standard,none,married,regularly,yes,,school_bus,> 10,94,73,72,79.66666667,Good
908,male,group D,some high school,standard,,single,sometimes,yes,2,school_bus,< 5,87,77,74,79.33333333,Good
910,female,group C,master's degree,free/reduced,completed,married,sometimes,yes,2,private,< 5,39,50,53,47.33333333,Poor
911,male,group D,some college,standard,none,married,sometimes,yes,1,school_bus,10-May,98,84,85,89,Good
912,female,group E,some high school,free/reduced,none,single,sometimes,yes,3,school_bus,10-May,55,59,56,56.66666667,Average
913,female,group C,some high school,free/reduced,none,married,regularly,yes,0,private,10-May,53,73,67,64.33333333,Average
914,female,group C,associate's degree,standard,completed,divorced,sometimes,no,1,private,< 5,73,73,74,73.33333333,Average
915,female,group C,high school,standard,none,married,regularly,no,2,school_bus,10-May,66,74,73,71,Average
916,female,group E,associate's degree,free/reduced,completed,married,never,yes,3,school_bus,> 10,65,74,74,71,Average
917,male,group B,some high school,standard,completed,single,sometimes,no,3,school_bus,10-May,79,75,77,77,Good
918,female,group B,some college,standard,none,divorced,sometimes,yes,7,private,10-May,81,88,91,86.66666667,Good
919,male,group D,some college,standard,none,married,regularly,no,1,private,10-May,87,90,87,88,Good
